Dataset,Prior,Alpha,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
2adult,mod,0.25,CausalCACTUS,4,0.32,1.056497187,0.74,0.1610810383,0.8385714286
2adult,mod,0.50,CausalCACTUS,0,0.64,1.073412318,0.4885714286,0.3219991152,0.62
2adult,mod,0.50,CausalCACTUS,1,0.44,1.070463588,0.6457142857,0.2050341167,0.7471428571
2adult,mod,0.50,CausalCACTUS,2,0.56,1.111342188,0.5514285714,0.3192651366,0.6585714286
2adult,mod,0.50,CausalCACTUS,3,0.54,1.075167496,0.5628571429,0.207168555,0.6642857143
2adult,mod,0.50,CausalCACTUS,4,0.58,1.065921236,0.5314285714,0.3466946833,0.66
2adult,mod,0.75,CausalCACTUS,0,0.66,1.077544843,0.4771428571,0.3613663193,0.5871428571
2adult,mod,0.75,CausalCACTUS,1,0.64,1.080861317,0.4942857143,0.3563280054,0.61
2adult,mod,0.75,CausalCACTUS,2,0.66,1.132107807,0.4857142857,0.3938722732,0.5928571429
2adult,mod,0.75,CausalCACTUS,3,0.62,1.086059583,0.4971428571,0.2651470303,0.6028571429
2adult,mod,0.75,CausalCACTUS,4,0.74,1.085500729,0.4228571429,0.4743512783,0.5385714286
2adult,mod,0.99,CausalCACTUS,0,0.72,1.080581335,0.4257142857,0.4186656757,0.5571428571
2adult,mod,0.99,CausalCACTUS,1,0.7,1.085348228,0.4371428571,0.4264733219,0.5657142857
2adult,mod,0.99,CausalCACTUS,2,0.68,1.142660102,0.4714285714,0.4569404066,0.5785714286
2adult,mod,0.99,CausalCACTUS,3,0.74,1.098497876,0.4057142857,0.3674131077,0.5185714286
2adult,mod,0.99,CausalCACTUS,4,0.74,1.090298182,0.4114285714,0.4833192018,0.5357142857
3law,min,0.01,CACTUS,0,0.22,1.042232188,0.5244444444,0.1708109378,0.5911111111
3law,min,0.01,CACTUS,1,0.14,1.059569105,0.6244444444,0.1341886719,0.6683333333
3law,min,0.01,CACTUS,2,0.18,1.041807063,0.4422222222,0.200627918,0.5116666667
3law,min,0.01,CACTUS,3,0.22,1.028876722,0.4622222222,0.1996645179,0.5294444444
3law,min,0.01,CACTUS,4,0.16,1.057896256,0.5133333333,0.1998551371,0.5661111111
3law,min,0.25,CACTUS,0,0.38,1.02956146,0.16,0.3400742274,0.2783333333
3law,min,0.25,CACTUS,1,0.3,1.04143088,0.2155555556,0.3321966578,0.3127777778
3law,min,0.25,CACTUS,2,0.34,1.033961737,0.2044444444,0.324559223,0.3083333333
3law,min,0.25,CACTUS,3,0.44,1.018028098,0.1022222222,0.3540992066,0.215
3law,min,0.25,CACTUS,4,0.42,1.039544966,0.1577777778,0.3894327083,0.2677777778
3law,min,0.50,CACTUS,0,0.52,1.039977532,0.1,0.4121565061,0.2322222222
3law,min,0.50,CACTUS,1,0.36,1.04369245,0.1355555556,0.3948999985,0.2438888889
3law,min,0.50,CACTUS,2,0.5,1.036378569,0.09777777778,0.4172932154,0.215
3law,min,0.50,CACTUS,3,0.58,1.026924162,0.09111111111,0.3929195148,0.2127777778
3law,min,0.50,CACTUS,4,0.58,1.045627592,0.1466666667,0.4267943425,0.2688888889
3law,min,0.75,CACTUS,0,0.62,1.059990572,0.1022222222,0.4438178929,0.2244444444
3law,min,0.75,CACTUS,1,0.46,1.049675221,0.05333333333,0.4845596207,0.1683333333
3law,min,0.75,CACTUS,2,0.62,1.043242325,0.1111111111,0.4593327106,0.2194444444
