Dataset,Prior,Model,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
3law,min,CausalCACTUS,1,0.74,1.06147577,0.3311111111,0.3241139244,0.3933333333
3law,min,CausalCACTUS,2,0.82,1.042988164,0.2644444444,0.369197204,0.315
3law,min,CausalCACTUS,3,0.82,1.033363043,0.2688888889,0.3411745904,0.3261111111
3law,min,CausalCACTUS,4,0.86,1.044977315,0.2222222222,0.4063296855,0.2788888889
3law,mod,LatentCF++,0,0.98,1.093324734,0.02666666667,0.4225570441,0.1540740741
3law,mod,LatentCF++,1,1,1.156926212,0.02444444444,0.5005181159,0.1511111111
3law,mod,LatentCF++,2,1,1.121099068,0.04222222222,0.5065342639,0.1555555556
3law,mod,LatentCF++,3,1,1.140800453,0.02222222222,0.4456363476,0.1437037037
3law,mod,LatentCF++,4,0.98,1.167685512,0.02666666667,0.6178653523,0.1392592593
3law,mod,Prototype C,0,0.84,2.811612112,0.02,2.485972797,0.05925925926
3law,mod,Prototype C,1,0.9,3.040877574,0.006666666667,2.491430291,0.04148148148
3law,mod,Prototype C,2,0.88,2.821628803,0.02,2.274396788,0.05185185185
3law,mod,Prototype C,3,0.9,2.846426217,0.01111111111,2.437721042,0.04740740741
3law,mod,Prototype C,4,0.88,2.882120317,0.01111111111,2.441326581,0.04074074074
3law,mod,Prototype D,0,0.96,2.087097325,0.02,1.954493636,0.07259259259
3law,mod,Prototype D,1,0.98,2.026220063,0.01111111111,1.707779977,0.06444444444
3law,mod,Prototype D,2,0.94,1.954447718,0.01777777778,1.732852983,0.0562962963
3law,mod,Prototype D,3,0.96,2.060070349,0.01333333333,1.807917625,0.06148148148
3law,mod,Prototype D,4,0.98,2.029724573,0.01777777778,1.86344197,0.06518518519
3law,mod,CACTUS,0,0.64,1.061110014,0.05777777778,0.515115111,0.1385185185
3law,mod,CACTUS,1,0.58,1.060679266,0.01777777778,0.5258951649,0.1118518519
3law,mod,CACTUS,2,0.66,1.045354665,0.06444444444,0.5072328925,0.1533333333
3law,mod,CACTUS,3,0.66,1.03498437,0.05777777778,0.5058631784,0.1407407407
3law,mod,CACTUS,4,0.6,1.053420409,0.07555555556,0.5041681224,0.1614814815
3law,mod,CausalCACTUS,0,0.82,1.038044581,0.2644444444,0.3528588082,0.2903703704
3law,mod,CausalCACTUS,1,0.9,1.052487805,0.1866666667,0.4355232077,0.2155555556
3law,mod,CausalCACTUS,2,0.88,1.039516781,0.1955555556,0.4144463036,0.2340740741
3law,mod,CausalCACTUS,3,0.84,1.034935878,0.2444444444,0.3516958867,0.277037037
3law,mod,CausalCACTUS,4,0.8,1.048294085,0.2777777778,0.3536880187,0.3162962963
4german,min,LatentCF++,0,1,1.181754814,0.05,0.3089386861,0.4277777778
4german,min,LatentCF++,1,1,1.225426384,0.04,0.361832476,0.4077777778
4german,min,LatentCF++,2,1,1.180556979,0.03,0.4172936774,0.3277777778
4german,min,LatentCF++,3,1,1.169904666,0.02333333333,0.4102674782,0.3711111111
4german,min,LatentCF++,4,1,1.216481484,0.01666666667,0.419675149,0.35
4german,min,Prototype C,0,1,2.971050663,0,2.182369844,0.08
4german,min,Prototype C,1,1,2.95037357,0.01333333333,2.126698155,0.08888888889
4german,min,Prototype C,2,1,2.919022467,0.006666666667,2.320791756,0.09111111111
4german,min,Prototype C,3,1,3.170483968,0.02,2.224914832,0.09777777778
4german,min,Prototype C,4,1,2.973713967,0.01333333333,2.223436165,0.07777777778
4german,min,Prototype D,0,1,2.074605651,0.01333333333,1.54785481,0.11
4german,min,Prototype D,1,1,2.073318425,0.01666666667,1.501099507,0.1411111111
4german,min,Prototype D,2,1,1.894888573,0.01,1.596840882,0.1111111111
4german,min,Prototype D,3,1,1.968273983,0.02,1.50479364,0.1277777778
4german,min,Prototype D,4,1,1.937372323,0.01666666667,1.506886029,0.1444444444
4german,min,CACTUS,0,0.84,1.022885533,0.01333333333,0.6013951234,0.2733333333
4german,min,CACTUS,1,0.84,1.026676731,0.02,0.6042527187,0.2555555556
4german,min,CACTUS,2,0.82,1.037242667,0.02333333333,0.6281832447,0.2711111111
4german,min,CACTUS,3,0.92,1.026023427,0.01333333333,0.6023302525,0.2633333333
4german,min,CACTUS,4,0.88,1.034181529,0.02333333333,0.6084846056,0.2444444444
