Dataset,Prior,Component,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
2adult,mod,full,CausalCACTUS,3,0.76,1.079321436,0.3942857143,0.3884876875,0.5028571429
2adult,mod,full,CausalCACTUS,4,0.82,1.090202718,0.3285714286,0.5347911174,0.4942857143
3law,min,baseline,CACTUS,0,0.64,1.058817382,0.08666666667,0.4628949082,0.2155555556
3law,min,baseline,CACTUS,1,0.52,1.058241357,0.03333333333,0.5098848739,0.155
3law,min,baseline,CACTUS,2,0.62,1.051556127,0.07333333333,0.4942553381,0.1783333333
3law,min,baseline,CACTUS,3,0.62,1.036567878,0.04888888889,0.4615117844,0.1711111111
3law,min,baseline,CACTUS,4,0.66,1.069520719,0.06888888889,0.5379239862,0.1861111111
3law,min,causal,CausalCACTUS,0,0.64,1.05038885,0.1511111111,0.4540513567,0.2211111111
3law,min,causal,CausalCACTUS,1,0.5,1.055687234,0.09333333333,0.5077998211,0.1616666667
3law,min,causal,CausalCACTUS,2,0.62,1.045152182,0.1377777778,0.4900705493,0.1855555556
3law,min,causal,CausalCACTUS,3,0.62,1.026969454,0.14,0.4525800681,0.1933333333
3law,min,causal,CausalCACTUS,4,0.64,1.059377726,0.1311111111,0.5227637996,0.1927777778
3law,min,phase,CausalCACTUS,0,0.8,1.049328716,0.2288888889,0.3246872498,0.33
3law,min,phase,CausalCACTUS,1,0.74,1.061496668,0.2866666667,0.3255875099,0.3827777778
3law,min,phase,CausalCACTUS,2,0.82,1.046358138,0.2111111111,0.3725083914,0.3116666667
3law,min,phase,CausalCACTUS,3,0.84,1.030664336,0.1911111111,0.3543337857,0.305
3law,min,phase,CausalCACTUS,4,0.88,1.05094844,0.1555555556,0.420964855,0.2583333333
3law,min,full,CausalCACTUS,0,0.8,1.048595825,0.2822222222,0.3224757086,0.3361111111
3law,min,full,CausalCACTUS,1,0.74,1.06147577,0.3311111111,0.3241139244,0.3933333333
3law,min,full,CausalCACTUS,2,0.82,1.042988164,0.2644444444,0.369197204,0.315
3law,min,full,CausalCACTUS,3,0.82,1.033363043,0.2688888889,0.3411745904,0.3261111111
3law,min,full,CausalCACTUS,4,0.86,1.044977315,0.2222222222,0.4063296855,0.2788888889
3law,mod,baseline,CACTUS,0,0.64,1.061110014,0.05777777778,0.515115111,0.1385185185
3law,mod,baseline,CACTUS,1,0.58,1.060679266,0.01777777778,0.5258951649,0.1118518519
3law,mod,baseline,CACTUS,2,0.66,1.045354665,0.06444444444,0.5072328925,0.1533333333
3law,mod,baseline,CACTUS,3,0.66,1.03498437,0.05777777778,0.5058631784,0.1407407407
3law,mod,baseline,CACTUS,4,0.6,1.053420409,0.07555555556,0.5041681224,0.1614814815
3law,mod,causal,CausalCACTUS,0,0.64,1.050402027,0.1222222222,0.5038278293,0.142962963
3law,mod,causal,CausalCACTUS,1,0.58,1.057157476,0.07555555556,0.5254839936,0.1148148148
3law,mod,causal,CausalCACTUS,2,0.66,1.044416178,0.1355555556,0.4993016414,0.162962963
3law,mod,causal,CausalCACTUS,3,0.68,1.033932099,0.1288888889,0.5058375931,0.1466666667
3law,mod,causal,CausalCACTUS,4,0.6,1.047995745,0.1355555556,0.4950635561,0.1733333333
